month;noticias_suicidio;media_sentimiento_noticias;sentiment_analysis_score;mes;descrip;suicidios;Menores_de_15_anos;De_15_a_29_anos;De_30_a_39_anos;De_40_a_44_anos;De_45_a_49_anos;De_50_a_54_anos;De_55_a_59_anos;De_60_a_64_anos;De_65_a_69_anos;De_70_a_74_anos;De_75_a_79_anos;De_80_a_84_anos;De_85_a_89_anos;De_90_a_94_anos;De_95_anos_y_mns;Unnamed:_18
2010-06-01;221;-0.005520361990950228;-7.97737556561086;2010-06-01;Ambos sexos;268.0;0.0;17.0;33.0;22.0;29.0;22.0;22.0;20.0;19.0;20.0;24.0;16.0;19.0;4.0;1.0;
2010-07-01;172;-0.0056395348837209305;-3.38953488372093;2010-07-01;Ambos sexos;280.0;0.0;25.0;52.0;32.0;31.0;22.0;20.0;18.0;10.0;19.0;19.0;18.0;11.0;3.0;0.0;
2010-08-01;147;-0.0061904761904761916;-9.448979591836734;2010-08-01;Ambos sexos;273.0;0.0;26.0;46.0;31.0;22.0;21.0;21.0;17.0;15.0;16.0;23.0;14.0;12.0;7.0;2.0;
2010-09-01;179;-0.012905027932960889;-12.044692737430168;2010-09-01;Ambos sexos;265.0;0.0;23.0;44.0;33.0;20.0;29.0;15.0;19.0;14.0;14.0;19.0;17.0;12.0;5.0;1.0;
2010-10-01;181;-0.010441988950276248;-8.513812154696133;2010-10-01;Ambos sexos;240.0;0.0;12.0;33.0;32.0;22.0;23.0;18.0;16.0;15.0;16.0;17.0;19.0;11.0;6.0;0.0;
2010-11-01;214;-0.0042523364485981315;0.43457943925233644;2010-11-01;Ambos sexos;202.0;1.0;12.0;42.0;22.0;24.0;17.0;13.0;13.0;9.0;8.0;14.0;14.0;9.0;3.0;1.0;
2010-12-01;229;-0.013275109170305678;-10.663755458515285;2010-12-01;Ambos sexos;238.0;0.0;15.0;40.0;25.0;29.0;20.0;20.0;18.0;16.0;16.0;15.0;12.0;8.0;3.0;1.0;
2011-01-01;240;-0.012041666666666664;-10.220833333333333;2011-01-01;Ambos sexos;256.0;0.0;10.0;40.0;36.0;18.0;23.0;21.0;16.0;14.0;20.0;27.0;16.0;11.0;2.0;2.0;
2011-02-01;193;-0.010673575129533685;-12.300518134715025;2011-02-01;Ambos sexos;243.0;0.0;24.0;40.0;32.0;25.0;28.0;9.0;15.0;15.0;16.0;19.0;14.0;4.0;1.0;1.0;
2011-03-01;146;-0.006164383561643837;-7.287671232876712;2011-03-01;Ambos sexos;296.0;0.0;22.0;45.0;36.0;30.0;30.0;28.0;19.0;18.0;12.0;23.0;23.0;9.0;1.0;0.0;
2011-04-01;209;-0.010047846889952158;-9.732057416267942;2011-04-01;Ambos sexos;268.0;0.0;18.0;37.0;24.0;32.0;32.0;22.0;12.0;20.0;16.0;19.0;14.0;16.0;5.0;1.0;
2011-05-01;236;-0.01046610169491526;-10.733050847457626;2011-05-01;Ambos sexos;277.0;0.0;21.0;41.0;34.0;29.0;22.0;20.0;14.0;16.0;23.0;23.0;22.0;7.0;5.0;0.0;
2011-06-01;157;-0.014840764331210194;-16.29936305732484;2011-06-01;Ambos sexos;285.0;0.0;23.0;46.0;27.0;24.0;25.0;15.0;17.0;17.0;27.0;22.0;26.0;13.0;2.0;1.0;
2011-07-01;158;-0.005696202531645572;-8.70253164556962;2011-07-01;Ambos sexos;263.0;0.0;20.0;36.0;27.0;28.0;23.0;17.0;25.0;17.0;23.0;18.0;15.0;10.0;3.0;1.0;
